,단축코드,한글 종목약명,상장일
652,271980,제일약품,2017/07/17
653,001560,제일연마,2005/12/09
654,002620,제일파마홀딩스,1988/01/20
655,006220,제주은행,1972/12/28
656,089590,제주항공,2015/11/06
657,004910,조광페인트,1976/12/27
658,004700,조광피혁,1977/05/27
659,001550,조비,1976/12/28
660,000480,조선내화,1978/06/30
661,120030,조선선재,2010/02/19
662,018470,조일알미늄,1988/11/22
663,002600,조흥,1976/12/23
664,063160,종근당바이오,2001/12/11
665,185750,종근당,2013/12/06
666,001630,종근당홀딩스,1976/06/30
667,070960,용평리조트,2016/05/27
668,023450,동남합성,1996/12/24
669,002380,KCC,1973/06/25
670,044380,주연테크,2006/11/15
671,024110,기업은행,2003/12/24
672,013890,지누스,2019/10/30
673,001250,GS글로벌,1976/06/26
674,007070,GS리테일,2011/12/23
675,013870,지엠비코리아,2012/11/20
676,071320,지역난방공사,2010/01/29
677,035000,지투알,1999/08/11
678,088790,진도,2006/03/28
679,003780,진양산업,1973/06/26
680,010640,진양폴리,1989/09/30
681,100250,진양홀딩스,2008/02/15
682,051630,진양화학,2001/01/29
683,272450,진에어,2017/12/08
684,011000,진원생명과학,1987/11/16
685,002785,진흥기업우B,2003/06/16
686,002787,진흥기업2우B,2006/12/05
687,002780,진흥기업,1977/06/25
688,009310,참엔지니어링,1987/11/12
689,000650,천일고속,1977/06/23
690,012600,청호ICT,1990/07/10
691,033250,체시스,1999/08/11
692,118000,초록뱀헬스케어,2009/12/30
693,323410,카카오뱅크,2021/08/06
694,035720,카카오,2017/07/10
695,377300,카카오페이,2021/11/03
696,006380,카프로,1974/05/28
697,109070,컨버즈,2009/03/17
698,001620,케이비아이동국실업,1990/09/15
699,009440,KC그린홀딩스,1994/11/05
700,029460,케이씨,1997/11/25
701,344820,KCC글라스,2020/01/21
702,119650,KC코트렐,2010/01/29
703,281820,케이씨텍,2017/12/05
704,044450,KSS해운,2007/10/26
705,092220,KEC,2006/10/16
706,381970,케이카,2021/10/13
707,145270,케이탑리츠,2012/01/31
708,030200,KT,1998/12/23
709,053210,스카이라이프,2011/06/03
710,058850,KTcs,2010/09/16
711,058860,KTis,2010/12/17
712,033780,KT&G,1999/10/08
713,417310,코람코더원리츠,2022/03/28
714,357120,코람코에너지리츠,2020/08/31
715,007815,코리아써우,1989/07/04
716,00781K,코리아써키트2우B,2013/06/17
717,007810,코리아써키트,1985/09/09
718,003690,코리안리,1969/12/22
719,192820,코스맥스,2014/04/07
720,044820,코스맥스비티아이,2006/11/13
721,005070,코스모신소재,1987/09/28
722,005420,코스모화학,1987/07/23
723,071950,코아스,2005/08/04
724,002025,코오롱우,1989/08/22
725,003075,코오롱글로벌우,1989/12/11
726,003070,코오롱글로벌,1978/09/15
727,45014K,코오롱모빌리티그룹우,2023/01/31
728,450140,코오롱모빌리티그룹,2023/01/31
729,002020,코오롱,1975/06/23
730,120115,코오롱인더우,2010/02/01
731,120110,코오롱인더,2010/02/01
732,138490,코오롱플라스틱,2011/06/15
733,021240,코웨이,2001/08/07
734,036420,콘텐트리중앙,2019/10/18
735,031820,콤텍시스템,1997/02/12
736,192400,쿠쿠홀딩스,2014/08/06
737,284740,쿠쿠홈시스,2018/01/11
738,015590,큐로,1989/05/27
739,26490K,크라운제과우,2017/04/11
740,264900,크라운제과,2017/04/11
741,005745,크라운해태홀딩스우,1994/11/22
742,005740,크라운해태홀딩스,1976/06/30
743,259960,크래프톤,2021/08/10
744,020120,키다리스튜디오,1996/07/03
745,039490,키움증권,2009/08/03
746,014580,태경비케이,1991/03/07
747,015890,태경산업,1996/01/30
748,006890,태경케미컬,2003/01/28
749,003240,태광산업,1975/12/27
750,011280,태림포장,1988/12/20
751,004105,태양금속우,1990/01/08
752,004100,태양금속,1976/05/25
753,009410,태영건설,1989/11/13
754,009415,태영건설우,1994/11/22
755,001420,태원물산,1975/06/24
756,007980,태평양물산,1994/12/27
757,055490,테이팩스,2017/10/31
758,078000,텔코웨어,2004/07/20
759,214420,토니모리,2015/07/10
760,019180,티에이치엔,1996/07/31
761,002900,TYM,1973/06/26
762,36328K,티와이홀딩스우,2020/09/22
763,363280,티와이홀딩스,2020/09/22
764,091810,티웨이항공,2018/08/01
765,004870,티웨이홀딩스,1977/06/30
766,069260,TKG휴켐스,2002/10/07
767,005690,파미셀,1988/05/20
768,036580,팜스코,1999/10/25
769,004720,팜젠사이언스,1990/06/15
770,028670,팬오션,2007/09/21
771,010820,퍼스텍,1989/05/10
772,016800,퍼시스,1996/12/24
773,001020,페이퍼코리아,1976/06/26
774,090080,평화산업,2006/06/02
775,010770,평화홀딩스,1986/03/31
776,058430,포스코스틸리온,2002/08/16
777,047050,포스코인터내셔널,2001/03/23
778,003670,포스코케미칼,2019/05/29
779,005490,POSCO홀딩스,1988/06/10
780,017810,풀무원,1995/10/05
781,103140,풍산,2008/07/30
782,005810,풍산홀딩스,1988/07/28
783,950210,프레스티지바이오파마,2021/02/05
784,009810,플레이그램,1988/08/31
785,178920,PI첨단소재,2021/08/09
786,086790,하나금융지주,2005/12/12
787,293480,하나제약,2018/10/02
788,039130,하나투어,2011/11/01
789,352820,하이브,2020/10/15
790,071090,하이스틸,2003/02/17
791,019490,하이트론,1998/11/04
792,000087,하이트진로2우B,2011/09/26
793,000080,하이트진로,2009/10/19
794,000145,하이트진로홀딩스우,1987/09/29
795,000140,하이트진로홀딩스,1973/09/19
796,036460,한국가스공사,1999/12/15
797,005430,한국공항,1976/12/28
798,010040,한국내화,2000/10/16
799,025540,한국단자,1996/10/16
800,004090,한국석유,1977/06/25
801,002200,한국수출포장,1974/06/28
802,002960,한국쉘석유,1988/08/10
803,000240,한국앤컴퍼니,1968/12/27
804,033270,유나이티드제약,2007/10/23
805,123890,한국자산신탁,2016/07/13
806,015760,한국전력,1989/08/10
807,052690,한전기술,2009/12/14
808,006200,한국전자홀딩스,1979/11/30
809,009540,한국조선해양,1999/08/24
810,023350,한국종합기술,2011/04/28
811,025890,한국주강,1997/07/18
812,000970,한국주철관,1969/12/12
813,104700,한국철강,2008/09/29
814,017960,한국카본,1995/07/08
815,161890,한국콜마,2012/10/19
816,024720,한국콜마홀딩스,2002/04/09
817,161390,한국타이어앤테크놀로지,2012/10/04
818,034830,한국토지신탁,2016/07/11
819,152550,한국ANKOR유전,2012/03/08
820,168490,한국패러랠,2013/04/19
821,071055,한국금융지주우,2003/07/21
822,071050,한국금융지주,2003/07/21
823,007280,한국특강,1989/11/13
824,010100,한국프랜지,1987/10/02
825,047810,한국항공우주,2011/06/30
826,123690,한국화장품,2010/06/01
827,003350,한국화장품제조,1978/02/06
828,011500,한농화성,2003/01/09
829,002390,한독,1976/06/30
830,053690,한미글로벌,2009/06/23
831,042700,한미반도체,2005/07/22
832,008930,한미사이언스,1988/06/20
833,128940,한미약품,2010/07/30
834,009240,한샘,2002/07/16
835,020000,한섬,1996/07/03
836,003680,한성기업,1989/01/26
837,105630,한세실업,2009/03/20
838,069640,한세엠케이,2011/06/21
839,016450,한세예스24홀딩스,2000/01/06
840,010420,한솔PNS,1989/05/31
841,009180,한솔로지스틱스,1989/11/13
842,213500,한솔제지,2015/01/26
843,014680,한솔케미칼,1989/05/20
844,004710,한솔테크닉스,1988/07/06
845,004150,한솔홀딩스,1972/05/17
846,025750,한솔홈데코,2003/11/04
847,004960,한신공영,1976/07/07
848,011700,한신기계,1987/07/24
849,001755,한양증권우,1989/10/24
850,001750,한양증권,1988/03/04
851,018880,한온시스템,1996/07/31
852,009420,한올바이오파마,1989/12/18
853,014130,한익스프레스,1989/07/25
854,300720,한일시멘트,2018/08/06
855,002220,한일철강,1988/10/07
856,006390,한일현대시멘트,1975/12/26
857,003300,한일홀딩스,1969/11/20
858,051600,한전KPS,2007/12/14
859,130660,한전산업,2010/12/16
860,002320,한진,1974/08/12
861,003480,한진중공업홀딩스,1956/03/03
862,18064K,한진칼우,2013/09/16
863,180640,한진칼,2013/09/16
864,005110,한창,1976/06/01
865,009460,한창제지,1987/12/23
866,372910,한컴라이프케어,2021/08/17
867,000885,한화우,1990/01/22
868,00088K,한화3우B,2016/10/19
869,000880,한화,1976/06/24
870,088350,한화생명,2010/03/17
871,000370,한화손해보험,1975/06/30
872,009835,한화솔루션우,1989/11/21
873,009830,한화솔루션,1974/06/19
874,272210,한화시스템,2019/11/13
875,012450,한화에어로스페이스,1987/05/27
876,003535,한화투자증권우,1989/05/06
877,003530,한화투자증권,1986/11/25
878,195870,해성디에스,2016/06/24
879,101530,해태제과식품,2016/05/11
880,143210,핸즈코퍼레이션,2016/12/02
881,000725,현대건설우,1989/09/21
882,267270,현대건설기계,2017/05/10
883,000720,현대건설,1984/12/22
884,005440,현대그린푸드,1989/08/22
885,086280,현대글로비스,2005/12/26
886,042670,현대두산인프라코어,2001/02/02
887,064350,현대로템,2013/10/30
888,079430,현대리바트,2005/11/22
889,012330,현대모비스,1989/09/05
890,010620,현대미포조선,1983/12/20
891,069960,현대백화점,2002/11/25
892,004565,현대비앤지스틸우,1989/08/31
893,004560,현대비앤지스틸,1987/03/24
894,004310,현대약품,1978/06/28
895,322000,현대에너지솔루션,2019/11/19
896,017800,현대엘리베이,1996/07/03
897,307950,현대오토에버,2019/03/28
898,011210,현대위아,2011/02/21
899,267260,현대일렉트릭,2017/05/10
900,005385,현대차우,1989/09/11
901,005387,현대차2우B,1998/12/02
902,005389,현대차3우B,1999/04/15
903,005380,현대차,1974/06/28
904,004020,현대제철,1987/05/23
905,329180,현대중공업,2021/09/17
906,001500,현대차증권,1990/06/09
907,011760,현대코퍼레이션,1977/12/01
908,227840,현대코퍼레이션홀딩스,2015/10/23
909,126560,현대퓨처넷,2010/12/23
910,001450,현대해상,1989/08/25
911,057050,현대홈쇼핑,2010/09/13
912,093240,형지엘리트,2009/09/28
913,003010,혜인,1988/09/20
914,111110,호전실업,2017/02/02
915,008775,호텔신라우,1991/08/09
916,008770,호텔신라,1991/03/12
917,002460,화성산업,1988/09/29
918,378850,화승알앤에이,2021/03/15
919,241590,화승엔터프라이즈,2016/10/04
920,006060,화승인더,1991/02/04
921,013520,화승코퍼레이션,1991/02/22
922,010690,화신,1994/01/14
923,133820,화인베스틸,2014/07/22
924,010660,화천기계,1988/12/12
925,000850,화천기공,1999/11/18
926,016580,환인제약,1996/07/03
927,032560,황금에스티,2009/10/29
928,004800,효성,1973/06/30
929,094280,효성ITX,2007/10/25
930,298040,효성중공업,2018/07/13
931,298050,효성첨단소재,2018/07/13
932,298020,효성티앤씨,2018/07/13
933,298000,효성화학,2018/07/13
934,093370,후성,2006/12/22
935,081660,휠라홀딩스,2010/09/28
936,005870,휴니드,1991/09/03
937,079980,휴비스,2012/02/23
938,005010,휴스틸,1973/06/29
939,000545,흥국화재우,1990/03/20
940,000547,흥국화재2우B,1999/08/09
941,000540,흥국화재,1974/12/05
942,003280,흥아해운,1976/06/29
0,098120,마이크로컨텍솔,2008/09/23
1,009520,포스코엠텍,1997/11/10
2,058820,CMG제약,2001/08/31
3,050120,ES큐브,2002/04/25
4,024120,KB오토시스,1994/12/07
5,044180,KD,2000/11/16
6,086960,MDS테크,2006/09/26
7,950110,SBI핀테크솔루션즈,2012/12/17
8,079940,가비아,2005/10/19
9,078890,가온미디어,2005/07/12
10,399720,가온칩스,2022/05/20
11,036620,감성코퍼레이션,2000/01/11
12,217730,강스템바이오텍,2015/12/21
13,114190,강원에너지,2009/11/20
14,094480,갤럭시아머니트리,2007/07/20
15,039240,경남스틸,2000/03/07
16,053950,경남제약,2001/11/06
17,011040,경동제약,1992/12/18
18,024910,경창산업,1994/12/29
19,198440,고려시멘트,2014/08/13
20,049720,고려신용정보,2002/01/31
21,014570,고려제약,2000/12/07
22,348150,고바이오랩,2020/11/18
23,098460,고영,2008/06/03
24,035290,골드앤에스,1999/12/07
25,038530,골드퍼시픽,2000/06/09
26,215000,골프존,2015/04/03
27,121440,골프존뉴딘홀딩스,2011/05/20
28,366030,공구우먼,2022/03/23
29,014200,광림,1993/07/07
30,029480,광무,1996/08/27
31,026910,광진실업,1996/01/03
32,355150,교보10호스팩,2020/09/18
33,397880,교보11호스팩,2021/12/20
34,421800,교보12호스팩,2022/06/24
35,440790,교보13호스팩,2022/11/02
36,053270,구영테크,2002/02/07
37,066620,국보디자인,2002/09/05
38,043650,국순당,2000/08/24
39,006050,국영지앤엠,1994/10/07
40,060480,국일신동,2014/12/29
41,078130,국일제지,2004/10/22
42,307750,국전약품,2018/12/19
43,035080,그래디언트,1999/07/05
44,900290,GRT,2016/10/25
45,204020,그리티,2018/07/23
46,186230,그린플러스,2019/08/07
47,083450,GST,2006/02/01
48,900070,글로벌에스엠,2009/12/23
49,204620,글로벌텍스프리,2014/11/19
50,019660,글로본,1992/06/04
51,053260,금강철강,2002/01/04
52,282720,금양그린파워,2023/03/13
53,036190,금화피에스시,2000/12/26
54,049080,기가레인,2013/12/19
55,035460,기산텔레콤,1999/11/18
56,308100,까스텔바작,2019/06/10
57,407400,꿈비,2023/02/09
58,187790,나노,2014/05/08
59,286750,나노브릭,2019/08/19
60,121600,나노신소재,2011/02/09
61,247660,나노씨엠에스,2021/03/09
62,039860,나노엔텍,2000/08/16
63,091970,나노캠텍,2007/01/30
64,417010,나노팀,2023/03/03
65,051490,나라엠앤디,2001/06/12
66,137080,나래나노텍,2022/02/08
67,190510,나무가,2015/11/12
68,242040,나무기술,2016/09/07
69,089600,나스미디어,2013/07/17
70,293580,나우IB,2018/10/04
71,138610,나이벡,2011/07/13
72,130580,나이스디앤비,2011/12/22
73,036800,나이스정보통신,2000/05/03
74,030190,NICE평가정보,2000/05/16
75,267320,나인테크,2017/06/22
76,111710,남화산업,2018/11/29
77,091590,남화토건,2012/01/31
78,168330,내츄럴엔도텍,2013/10/31
79,094860,네오리진,2007/04/16
80,253590,네오셈,2018/04/04
81,212560,네오오토,2015/11/18
82,095660,네오위즈,2007/07/02
83,042420,네오위즈홀딩스,2000/06/27
84,950220,네오이뮨텍,2021/03/16
85,311390,네오크레마,2019/08/22
86,085910,네오티스,2007/10/01
87,092730,네오팜,2007/01/30
88,290660,네오펙트,2018/11/28
89,306620,네온테크,2018/10/31
90,153460,네이블,2012/07/19
91,007390,네이처셀,1992/11/30
92,033640,네패스,1999/12/14
93,330860,네패스아크,2020/11/17
94,089140,넥스턴바이오,2006/11/01
95,137940,넥스트아이,2011/06/14
96,160550,NEW,2014/12/23
97,396270,넥스트칩,2022/07/01
98,348210,넥스틴,2020/10/08
99,225570,넥슨게임즈,2015/09/25
100,217270,넵튠,2015/06/18
101,104620,노랑풍선,2019/01/30
102,194700,노바렉스,2018/11/14
103,285490,노바텍,2018/11/02
104,106520,노블엠앤비,2012/07/13
105,376930,노을,2022/03/03
106,278650,노터스,2019/11/27
107,142280,녹십자엠에스,2014/12/17
108,234690,녹십자웰빙,2019/10/14
109,065560,녹원씨엔아이,2003/07/01
110,154030,아시아종묘,2018/02/12
111,054050,농우바이오,2002/04/02
112,069140,누리플랜,2010/10/26
113,040160,누리플렉스,2000/08/29
114,332290,누보,2019/10/11
115,348340,뉴로메카,2022/11/04
116,060260,뉴보텍,2002/02/05
117,012340,뉴인텍,1997/02/12
118,214870,뉴지랩파마,2015/10/13
119,270870,뉴트리,2018/12/13
120,144960,뉴파워프라즈마,2016/11/30
121,085670,뉴프렉스,2006/01/17
122,064260,다날,2004/07/23
123,093640,다믈멀티미디어,2007/10/19
124,340360,다보링크,2019/12/19
125,039560,다산네트웍스,2000/06/22
126,298870,다올인베스트먼트,2021/12/16
127,032190,다우데이타,1999/12/21
128,068240,다원시스,2010/09/14
129,020400,대동금속,1993/07/30
130,008830,대동기어,1991/05/17
131,048470,대동스틸,2002/01/10
132,004780,대륙제관,1994/12/29
133,017650,대림제지,1994/11/07
134,007720,대명소노시즌,1994/01/06
135,389260,대명에너지,2022/05/16
136,317850,대모,2019/07/24
137,290670,대보마그네틱,2018/11/06
138,078140,대봉엘에스,2005/12/23
139,036480,대성미생물,2000/04/04
140,027830,대성창투,1999/11/30
141,104040,대성파인텍,2009/01/23
142,129920,대성하이텍,2022/08/22
143,426670,대신밸런스제12호스팩,2022/07/14
144,438220,대신밸런스제13호스팩,2022/11/28
145,442310,대신밸런스제14호스팩,2022/12/05
146,020180,대신정보통신,1995/10/06
147,045390,대아티아이,2001/05/17
148,108380,대양전기공업,2011/07/08
149,006580,대양제지,1993/12/29
150,007680,대원,2017/12/01
151,048910,대원미디어,2001/07/31
152,005710,대원산업,1993/06/21
153,290380,대유,2018/08/10
154,290120,대유에이피,2018/12/07
155,120240,대정화금,2010/12/20
156,003310,대주산업,1992/08/01
157,078600,대주전자재료,2004/12/10
158,096350,대창솔루션,2007/12/17
159,140520,대창스틸,2014/12/05
160,131220,대한과학,2011/10/11
161,010170,대한광통신,1994/11/07
162,060900,대한그린파워,2002/09/17
163,054670,대한뉴팜,2002/02/26
164,023910,대한약품,1994/11/23
165,021040,대호특수강,1996/08/27
166,021045,대호특수강우,2001/09/13
167,067080,대화제약,2003/02/14
168,161570,THE MIDONG,2013/11/13
169,298540,더네이쳐홀딩스,2020/07/27
170,393890,더블유씨피,2022/09/30
171,299170,더블유에스아이,2018/09/21
172,089230,THE E&M,2006/10/10
173,224060,더코디,2015/12/29
174,213420,덕산네오룩스,2015/02/06
175,317330,덕산테코피아,2019/08/02
176,077360,덕산하이메탈,2005/10/14
177,090410,덕신하우징,2014/08/01
178,263600,덕우전자,2017/08/28
179,194480,데브시스터즈,2014/10/06
180,263800,데이타솔루션,2017/08/03
181,206560,덱스터,2015/12/22
182,261200,덴티스,2017/06/26
183,067990,도이치모터스,2004/12/03
184,006620,동구바이오제약,2018/02/13
185,005160,동국산업,1999/06/25
186,075970,동국알앤에스,2004/02/13
187,100130,동국S&C,2009/08/31
188,086450,동국제약,2007/05/29
189,099410,동방선기,2009/11/10
190,033500,동성화인텍,1997/12/19
191,025950,동신건설,1995/08/07
192,088130,동아엘텍,2007/01/03
193,041930,동아화성,2001/12/26
194,060380,동양에스텍,2002/02/05
195,079960,동양이엔피,2005/02/01
196,228340,동양파일,2016/04/06
197,088910,동우팜투테이블,2006/06/23
198,094170,동운아나텍,2015/06/30
199,013120,동원개발,1994/12/29
200,109860,동일금속,2009/07/28
201,032960,동일기연,1997/07/18
202,023790,동일철강,1994/11/07
203,005290,동진쎄미켐,1999/12/21
204,025900,동화기업,1995/08/07
205,131970,두산테스나,2013/10/22
206,073190,듀오백,2004/02/06
207,030350,드래곤플라이,1997/11/10
208,203650,드림시큐리티,2014/10/13
209,223250,드림씨아이에스,2020/05/22
210,060570,드림어스컴퍼니,2003/12/19
211,217620,디딤이앤에프,2015/06/10
212,016670,디모아,1993/04/21
213,187870,디바이스이엔지,2017/12/20
214,404950,DB금융스팩10호,2022/01/20
215,367340,DB금융스팩8호,2020/12/09
216,367360,DB금융스팩9호,2021/03/16
217,066670,디스플레이텍,2002/12/30
218,110990,디아이티,2018/08/07
219,078590,디아크,2005/10/27
220,263690,디알젬,2018/11/22
221,214680,디알텍,2015/04/20
222,263720,디앤씨미디어,2017/08/01
223,376300,디어유,2021/11/10
224,241520,DSC인베스트먼트,2016/12/19
225,141020,디에스앤엘,2013/01/29
226,109740,디에스케이,2009/09/23
227,025440,DH오토웨어,1995/05/22
228,196490,디에이테크놀로지,2014/11/19
229,066900,디에이피,2004/05/14
230,180400,DXVX,2015/11/20
231,127120,디엔에이링크,2011/12/26
232,092070,디엔에프,2007/11/16
233,068790,DMS,2004/10/01
234,039840,디오,2000/06/29
235,219550,디와이디,2015/07/22
236,310870,디와이씨,2018/12/20
237,104460,디와이피엔에프,2009/12/22
238,079810,디이엔티,2005/01/26
239,113810,디젠스,2012/11/22
240,043360,디지아이,2001/07/20
241,197140,디지캡,2018/09/07
242,068930,디지털대성,2003/10/17
243,033130,디지틀조선,1997/08/06
244,105740,디케이락,2010/11/12
245,263020,디케이앤디,2018/11/20
246,290550,디케이티,2018/12/21
247,187220,디티앤씨,2014/12/17
248,383930,디티앤씨알오,2022/11/11
249,131180,딜리,2011/01/31
250,315640,딥노이드,2021/08/17
251,317120,라닉스,2019/09/18
252,042510,라온시큐어,2001/01/03
253,232680,라온테크,2021/06/17
254,418420,라온텍,2023/03/09
255,300120,라온피플,2019/10/18
256,171120,라이온켐텍,2013/11/19
257,388790,라이콤,2021/09/03
258,069540,라이트론,2004/02/13
259,347700,라이프시맨틱스,2021/03/23
260,214260,라파스,2019/11/11
261,200350,래몽래인,2021/12/30
262,171010,램테크놀러지,2013/11/18
263,084650,랩지노믹스,2014/12/16
264,217500,러셀,2015/06/16
265,141080,레고켐바이오,2013/05/10
266,038390,레드캡투어,2000/02/01
267,294140,레몬,2020/02/28
268,228670,레이,2019/08/08
269,228850,레이언스,2016/04/11
270,412350,레이저쎌,2022/06/24
271,281740,레이크머티리얼즈,2017/12/12
272,277810,레인보우로보틱스,2021/02/03
273,215100,로보로보,2015/04/22
274,090360,로보스타,2011/10/17
275,108490,로보티즈,2018/10/26
276,900260,로스웰,2016/06/30
277,067730,로지시스,2015/07/29
278,071280,로체시스템즈,2003/11/14
279,328130,루닛,2022/07/21
280,038060,루멘스,2006/08/08
281,085370,루트로닉,2006/07/04
282,08537M,루트로닉3우C,2016/12/15
283,060240,룽투코리아,2002/01/04
284,058470,리노공업,2001/12/18
285,039980,리노스,2002/08/13
286,019570,리더스 기술투자,1989/03/14
287,016100,리더스코스메틱,2003/01/15
288,012700,리드코프,1996/01/19
289,302550,리메드,2019/12/06
290,377450,리파인,2021/10/29
291,277070,린드먼아시아,2018/03/14
292,042500,링네트,2002/01/10
293,219420,링크제니시스,2018/02/05
294,195500,마니커에프앤지,2019/08/20
295,305090,마이크로디지탈,2019/06/05
296,147760,마이크로프랜드,2016/12/12
297,377480,마인즈랩,2021/11/23
298,169330,엠브레인,2020/07/01
299,038290,마크로젠,2000/02/22
300,267980,매일유업,2017/06/05
301,005990,매일홀딩스,1999/05/14
302,093520,매커스,2007/02/12
303,377030,맥스트,2021/07/27
304,100590,머큐리,2018/12/14
305,067280,멀티캠퍼스,2006/11/16
306,072870,메가스터디,2004/12/21
307,215200,메가스터디교육,2015/05/04
308,133750,메가엠디,2015/12/18
309,235980,메드팩토,2019/12/19
310,041920,메디아나,2014/10/07
311,014100,메디앙스,1995/01/03
312,054180,메디콕스,2001/10/16
313,086900,메디톡스,2009/01/16
314,078160,메디포스트,2005/07/29
315,065650,메디프론,2003/01/21
316,408920,메쎄이상,2022/03/07
317,021880,메이슨캐피탈,1996/09/02
318,140410,메지온,2012/01/20
319,241770,메카로,2017/12/06
320,059210,메타바이오메드,2008/04/15
321,058110,멕아이씨에스,2015/12/14
322,096640,멜파스,2009/12/18
323,257370,명성티엔에스,2018/09/13
324,080420,모다이노칩,2005/12/06
325,417970,모델솔루션,2022/10/07
326,080160,모두투어,2005/07/26
327,087260,모바일어플라이언스,2017/02/24
328,101330,모베이스,2010/02/04
329,012860,모베이스전자,1994/10/26
330,363260,모비데이즈,2021/02/10
331,348030,모비릭스,2021/01/28
332,250060,모비스,2016/09/08
333,288980,모아데이타,2022/03/10
334,033200,모아텍,1997/10/13
335,333050,모코엠시스,2019/10/31
336,118990,모트렉스,2017/08/04
337,006920,모헨즈,1989/01/05
338,038340,MIT,2001/11/22
339,001810,무림SP,2000/01/04
340,279600,미디어젠,2019/11/05
341,095500,미래나노텍,2007/10/01
342,254490,미래반도체,2023/01/27
343,218150,미래생명자원,2015/06/18
344,353490,미래에셋대우스팩 5호,2020/08/28
345,442900,미래에셋드림스팩1호,2023/03/15
346,100790,미래에셋벤처투자,2019/03/15
347,412930,미래에셋비전스팩1호,2022/04/21
348,446190,미래에셋비전스팩2호,2023/02/24
349,049950,미래컴퍼니,2005/01/04
350,207760,미스터블루,2014/12/12
351,059090,미코,2002/01/15
352,214610,미코바이오메드,2020/10/22
353,201490,미투온,2016/10/10
354,950190,미투젠,2020/08/18
355,206640,바디텍메드,2014/12/29
356,018700,바른손,1994/03/18
357,035620,바른손이앤에이,1999/08/13
358,053030,바이넥스,2001/08/07
