,단축코드,한글 종목약명,상장일
359,301300,바이브컴퍼니,2020/10/28
360,064550,바이오니아,2005/12/29
361,314930,바이오다인,2021/03/17
362,208710,바이오로그디바이스,2014/12/24
363,086820,바이오솔루션,2018/08/20
364,038460,바이오스마트,2000/06/22
365,251120,바이오에프디엔씨,2022/02/21
366,199730,바이오인프라,2023/03/02
367,086040,바이오톡스텍,2007/09/21
368,099430,바이오플러스,2021/09/27
369,032980,바이온,1997/08/06
370,222160,바이옵트로,2021/11/18
371,308080,바이젠셀,2021/08/25
372,043150,바텍,2006/09/29
373,323990,박셀바이오,2020/09/22
374,267790,배럴,2018/02/01
375,046310,백금T&A,2002/02/05
376,331520,밸로프,2019/10/29
377,066410,버킷스튜디오,2003/12/19
378,382900,범한퓨얼셀,2022/06/17
379,206400,베노홀딩스,2014/12/10
380,019010,베뉴지,1993/11/05
381,177350,베셀,2015/06/19
382,299910,베스파,2018/12/03
383,225530,보광산업,2015/12/17
384,250000,보라티알,2017/06/08
385,310210,보로노이,2022/06/24
386,006910,보성파워텍,1994/09/07
387,226340,본느,2015/11/05
388,008470,부스타,2011/02/23
389,014470,부방,1994/02/25
390,338220,뷰노,2021/02/26
391,100120,뷰웍스,2009/04/10
392,337930,브랜드엑스코퍼레이션,2020/08/13
393,099390,브레인즈컴퍼니,2021/08/19
394,064480,브리지텍,2008/06/04
395,288330,브릿지바이오테라퓨틱스,2019/12/20
396,365900,브이씨,2022/02/24
397,251630,브이원텍,2017/07/13
398,018290,브이티지엠피,1994/09/07
399,044480,블레이드 Ent,2001/01/11
400,033560,블루콤,2011/01/26
401,369370,블리츠웨이,2020/12/23
402,126340,비나텍,2020/09/23
403,121800,비덴트,2011/12/01
404,148140,비디아이,2017/11/09
405,082800,비보존 제약,2005/11/18
406,318410,비비씨,2020/09/21
407,419540,비스토스,2022/10/18
408,146320,비씨엔씨,2022/03/03
409,200780,비씨월드제약,2014/12/15
410,141000,비아트론,2012/05/04
411,090460,비에이치,2007/01/26
412,083650,비에이치아이,2005/12/02
413,032790,비엔지티,1997/06/26
414,445360,비엔케이제1호스팩,2022/12/22
415,142760,비엘,2016/07/07
416,065170,비엘팜텍,2002/11/19
417,086670,비엠티,2007/11/02
418,335890,비올,2019/12/03
419,138580,비즈니스온,2017/11/30
420,126600,BGF에코머티리얼즈,2010/11/12
421,082920,비츠로셀,2009/10/28
422,054220,비츠로시스,2001/12/26
423,042370,비츠로테크,2000/08/03
424,050090,비케이홀딩스,2004/06/29
425,307870,비투엔,2018/12/12
426,357880,비트나인,2021/11/10
427,032850,비트컴퓨터,1997/07/04
428,148780,비플라이소프트,2022/06/20
429,238200,비피도,2018/12/26
430,093190,빅솔론,2007/08/20
431,065450,빅텍,2003/02/05
432,072950,빛샘전자,2012/03/21
433,143240,사람인에이치알,2012/02/21
434,419120,산돌,2022/10/27
435,122350,삼기,2010/03/19
436,419050,삼기이브이,2023/02/03
437,014970,삼륭물산,1992/12/29
438,018310,삼목에스폼,1996/05/03
439,053700,삼보모터스,2001/11/06
440,009620,삼보산업,1993/12/07
441,023600,삼보판지,1996/05/29
442,377630,삼성스팩4호,2021/05/21
443,425290,삼성스팩6호,2022/06/30
444,439250,삼성스팩7호,2022/10/26
445,448740,삼성스팩8호,2023/03/02
446,380320,삼성머스트스팩5호,2021/06/17
447,009300,삼아제약,2000/07/19
448,225190,삼양옵틱스,2017/06/02
449,060310,3S,2002/04/23
450,361670,삼영에스앤씨,2021/05/21
451,054540,삼영엠텍,2001/11/15
452,065570,삼영이엔씨,2003/01/21
453,032280,삼일,1997/03/15
454,002290,삼일기업공사,1992/11/30
455,037460,삼지전자,1999/12/16
456,032750,삼진,1997/07/14
457,054090,삼진엘앤디,2004/02/06
458,000250,삼천당제약,2000/10/04
459,024950,삼천리자전거,1995/01/04
460,038500,삼표시멘트,2001/02/01
461,017480,삼현철강,2001/01/09
462,046390,삼화네트웍스,2001/01/11
463,027580,상보,2007/10/01
464,038540,상상인,2000/08/18
465,101000,상상인인더스트리,2009/11/06
466,415580,상상인제3호스팩,2022/04/29
467,091580,상신이디피,2007/05/23
468,263810,상신전자,2017/10/16
469,089980,상아프론테크,2011/07/21
470,042940,상지카일룸,2000/10/19
471,042600,새로닉스,2002/10/01
472,107600,새빗켐,2022/08/04
473,411080,샌즈랩,2023/02/15
474,252990,샘씨엔에스,2021/05/20
475,378800,샤페론,2022/10/19
476,294630,서남,2020/02/20
477,038070,서린바이오,2005/10/25
478,006730,서부T&D,1995/10/06
479,079650,서산,2005/01/21
480,100660,서암기계공업,2011/12/19
481,019770,서연탑메탈,2011/06/24
482,043710,서울리거,2002/07/11
483,092190,서울바이오시스,2020/03/06
484,046890,서울반도체,2002/01/17
485,063170,서울옥션,2008/07/01
486,027040,서울전자통신,1999/12/03
487,018680,서울제약,2000/08/18
488,093920,서원인텍,2007/12/20
489,189860,서전기전,2014/12/24
490,178320,서진시스템,2017/03/27
491,122690,서진오토모티브,2010/05/25
492,140070,서플러스글로벌,2017/01/25
493,011370,서한,1994/05/24
494,065710,서호전기,2002/07/16
495,035890,서희건설,1999/12/24
496,357550,석경에이티,2020/12/23
497,003100,선광,1999/12/21
498,067370,선바이오,2022/10/05
499,171090,선익시스템,2017/09/20
500,086710,선진뷰티사이언스,2021/01/27
501,014620,성광벤드,2001/01/11
502,037350,성도이엔지,2000/01/11
503,081580,성우전자,2007/10/12
504,045300,성우테크론,2001/12/18
505,015750,성우하이텍,1995/11/04
506,365340,성일하이텍,2022/07/28
507,080470,성창오토텍,2006/11/03
508,043260,성호전자,2001/11/29
509,148150,세경하이테크,2019/07/30
510,053060,세동,2001/08/17
511,340440,세림B&G,2019/12/27
512,017510,세명전기,1991/12/26
513,011560,세보엠이씨,1996/12/23
514,396300,세아메카닉스,2022/03/24
515,100700,세운메디칼,2008/09/30
516,024830,세원물산,1994/12/29
517,258830,세종메디칼,2018/05/29
518,036630,세종텔레콤,2000/01/04
519,039310,세중,2000/06/09
520,067770,세진티에스,2004/01/09
521,053450,세코닉스,2001/08/09
522,222810,세토피아,2015/08/13
523,252500,세화피앤씨,2016/11/02
524,347000,센코,2020/10/29
525,331920,셀레믹스,2020/08/21
526,049180,셀루메드,2002/05/23
527,299660,셀리드,2019/02/20
528,268600,셀리버리,2018/11/09
529,108860,셀바스AI,2009/12/10
530,208370,셀바스헬스케어,2014/12/17
531,068760,셀트리온제약,2006/02/03
532,091990,셀트리온헬스케어,2017/07/28
533,068940,셀피글로벌,2010/10/19
534,060230,소니드,2002/06/25
535,290690,소룩스,2020/11/06
536,950200,소마젠,2020/07/13
537,032680,소프트센,1997/07/18
538,032685,소프트센우,2002/04/16
539,258790,소프트캠프,2017/04/27
540,066910,손오공,2005/01/07
541,043100,솔고바이오,2000/08/08
542,154040,솔루에타,2013/12/27
543,035610,솔본,1999/08/13
544,357780,솔브레인,2020/08/06
545,036830,솔브레인홀딩스,2000/01/18
546,304100,솔트룩스,2020/07/23
547,328380,솔트웨어,2019/08/20
548,086980,쇼박스,2006/07/07
549,050960,수산아이앤티,2016/10/11
550,084180,수성샐바시온,2005/12/16
551,253840,수젠텍,2019/05/28
552,236200,슈프리마,2016/02/05
553,317770,슈프리마아이디,2019/08/01
554,094840,슈프리마에이치큐,2008/07/11
555,192440,슈피겐코리아,2014/11/05
556,136510,스마트솔루션즈,2011/11/18
557,099440,스맥,2009/05/26
558,033790,스카이문스테크놀로지,2001/06/26
559,276040,스코넥,2022/02/04
560,159910,스킨앤스킨,2012/12/27
561,115570,스타플렉스,2010/01/27
562,330730,스톤브릿지벤처스,2022/02/25
563,204630,스튜디오산타클로스,2014/12/29
564,253450,스튜디오드래곤,2017/11/24
565,408900,스튜디오미르,2023/02/07
566,013810,스페코,1997/11/03
567,049830,승일,2001/01/18
568,020710,시공테크,1999/08/13
569,033170,시그네틱스,2010/11/26
570,048870,시너지이노베이션,2004/08/13
571,025320,시노펙스,1995/04/20
572,269620,시스웍,2017/12/26
573,131090,시큐브,2011/12/21
574,139050,시티랩스,2011/07/29
575,290520,신도기연,2020/07/06
576,001000,신라섬유,1994/06/28
577,025870,신라에스지,1995/07/07
578,215600,신라젠,2016/12/06
579,065350,신성델타테크,2004/08/06
580,162300,신스틸,2022/12/23
581,002800,신신제약,2017/02/28
582,419270,신영스팩7호,2022/04/28
583,430220,신영스팩8호,2022/08/26
584,445970,신영스팩9호,2022/12/27
585,017000,신원종합개발,1994/12/07
586,012790,신일제약,1999/08/13
587,138070,신진에스엠,2011/11/28
588,226330,신테카바이오,2019/12/17
589,418210,신한제10호스팩,2022/07/29
590,366330,신한제7호스팩,2021/02/04
591,393360,신한제8호스팩,2021/09/27
592,405640,신한제9호스팩,2022/04/27
593,056700,신화인터텍,2001/12/13
594,187270,신화콘텍,2014/08/08
595,243840,신흥에스이씨,2017/09/27
596,257720,실리콘투,2021/09/29
597,222800,심텍,2015/08/07
598,036710,심텍홀딩스,2000/01/04
599,160980,싸이맥스,2015/06/17
600,356890,싸이버원,2021/03/11
601,217330,싸이토젠,2018/11/22
602,010280,쌍용정보통신,2000/04/14
603,208640,썸에이지,2014/12/29
604,222420,쎄노텍,2015/08/06
605,037760,쎄니트,2000/04/07
606,099320,쎄트렉아이,2008/06/13
607,049960,쎌바이오텍,2002/12/13
608,050890,쏠리드,2005/07/08
609,013720,CBI,1993/12/29
610,066790,씨씨에스,2003/05/30
611,222080,씨아이에스,2015/09/02
612,352480,씨앤씨인터내셔널,2021/05/17
613,023460,CNH,1994/10/07
614,264660,씨앤지하이테크,2018/01/25
615,352700,씨앤투스,2021/01/28
616,056730,CNT85,2002/01/04
617,065770,CS,2004/06/04
618,297090,씨에스베어링,2019/11/21
619,083660,CSA 코스믹,2006/07/25
620,359090,씨엔알리서치,2020/09/23
621,115530,씨엔플러스,2011/11/02
622,115480,씨유메디칼,2011/12/15
623,376290,씨유테크,2021/10/08
624,189330,씨이랩,2021/02/24
625,311690,CJ 바이오사이언스,2019/12/26
626,035760,CJ ENM,1999/11/23
627,051500,CJ프레시웨이,2001/07/26
628,096530,씨젠,2010/09/10
629,900120,씨케이에이치,2010/03/31
630,101240,씨큐브,2011/11/08
631,060590,씨티씨바이오,2002/02/21
632,260930,씨티케이,2017/12/07
633,013990,아가방컴퍼니,2002/01/17
634,123860,아나패스,2010/11/05
635,025980,아난티,1996/01/06
636,058220,아리온,2005/08/05
637,125210,아모그린텍,2019/03/29
638,052710,아모텍,2003/08/01
639,074430,아미노로직스,2004/06/04
640,092040,아미코젠,2013/09/12
641,083930,아바코,2005/10/11
642,149950,아바텍,2012/11/06
643,036010,아비코전자,2002/07/03
644,050860,아세아텍,2010/01/26
645,136410,아셈스,2022/02/07
646,246720,아스타,2017/03/20
647,067390,아스트,2014/12/24
648,159010,아스플로,2021/10/07
649,127710,아시아경제,2015/07/31
650,227610,아우딘퓨쳐스,2017/07/12
651,143160,아이디스,2011/09/26
652,054800,아이디스홀딩스,2001/09/27
653,332370,아이디피,2020/08/24
654,339950,아이비김영,2019/12/24
655,405350,IBKS제17호스팩,2022/02/18
656,424760,IBKS제18호스팩,2022/07/22
657,426550,IBKS제19호스팩,2022/08/26
658,439730,IBKS제20호스팩,2022/10/28
659,442770,IBKS제21호스팩,2022/12/16
660,099190,아이센스,2013/01/30
661,289010,아이스크림에듀,2019/07/11
662,214430,아이쓰리시스템,2015/07/30
663,040910,아이씨디,2011/08/05
664,368600,아이씨에이치,2022/07/29
665,052860,아이앤씨,2009/10/06
666,095340,ISC,2007/10/01
667,069920,아이에스이커머스,2007/12/05
668,038880,아이에이,2000/04/27
669,307180,아이엘사이언스,2018/12/21
670,101390,아이엠,2008/07/23
671,052220,iMBC,2005/01/21
672,078860,아이오케이,2006/06/27
673,090150,아이윈,2006/10/20
674,123010,아이윈플러스,2016/07/20
675,031310,아이즈비전,1997/07/25
676,185490,아이진,2015/11/16
677,059100,아이컴포넌트,2008/12/16
678,262840,아이퀘스트,2021/02/05
679,175250,아이큐어,2018/07/12
680,052460,아이크래프트,2005/01/03
681,119830,아이텍,2010/10/26
682,052770,아이톡시,2002/08/22
683,124500,아이티센,2014/12/23
684,372800,아이티아이즈,2021/11/11
685,099520,ITX-AI,2009/12/22
686,084850,아이티엠반도체,2019/11/07
687,114840,아이패밀리에스씨,2021/10/28
688,027360,아주IB투자,2018/11/21
689,032080,아즈텍WB,2000/10/26
690,013310,아진산업,2015/12/22
691,059120,아진엑스텍,2014/07/24
692,158430,아톤,2019/10/17
693,067160,아프리카TV,2003/12/19
694,001540,안국약품,2000/06/15
695,053800,안랩,2001/09/13
696,065660,안트로젠,2016/02/15
697,297570,알로이스,2018/07/20
698,260660,알리코제약,2018/02/12
699,361570,알비더블유,2021/11/22
700,131370,알서포트,2011/01/05
701,140670,알에스오토메이션,2017/08/11
702,327260,RF머트리얼즈,2019/12/24
703,096610,알에프세미,2007/11/20
704,218410,RFHIC,2015/06/30
705,061040,알에프텍,2002/05/16
706,148250,알엔투테크놀로지,2016/06/22
707,347860,알체라,2020/12/21
708,196170,알테오젠,2014/12/12
709,123750,알톤스포츠,2010/07/02
710,085810,알티캐스트,2013/12/06
711,117670,알파홀딩스,2010/09/17
712,314140,알피바이오,2022/09/29
713,291650,압타머사이언스,2020/09/16
714,293780,압타바이오,2019/06/12
715,196300,애니젠,2016/12/07
716,310200,애니플러스,2018/12/21
717,179530,애드바이오텍,2022/01/24
718,900100,애머릿지,2010/04/21
719,205500,액션스퀘어,2014/11/12
720,052790,액토즈소프트,2001/08/14
721,290740,액트로,2018/08/28
722,238090,앤디포스,2016/10/12
723,092600,앤씨앤,2007/06/26
724,129890,앱코,2020/12/02
725,174900,앱클론,2017/09/18
726,255440,야스,2017/09/29
727,030960,양지사,1996/10/24
728,073570,어반리튬,2004/01/06
729,102120,어보브반도체,2009/06/05
730,263540,어스앤에어로스페이스,2017/09/15
731,238120,얼라인드,2016/11/03
732,019990,에너토크,2006/02/01
733,270660,에브리봇,2021/07/28
734,038680,에스넷,2000/04/27
735,217480,에스디생명공학,2017/03/02
736,121890,에스디시스템,2010/07/16
737,099220,SDN,2009/05/19
738,097780,에스맥,2008/01/23
739,289080,SV인베스트먼트,2018/07/06
740,151910,SBW생명과학,2012/08/02
741,389500,에스비비테크,2022/10/17
742,019550,SBI인베스트먼트,1989/09/06
743,046140,SBS콘텐츠허브,2003/02/05
744,042110,에스씨디,2000/07/13
745,036120,SCI평가정보,1999/12/07
746,298060,에스씨엠생명과학,2020/06/17
747,065420,에스아이리소스,2002/08/22
748,103230,에스앤더블류,2009/08/05
749,260970,에스앤디,2021/09/29
750,101490,에스앤에스텍,2009/04/14
751,095910,에스에너지,2007/10/16
752,275630,에스에스알,2018/08/06
753,419530,SAMG엔터,2022/12/06
754,031330,에스에이엠티,2000/05/23
755,060540,에스에이티,2006/11/28
756,351320,에스에이티이엔지,2020/06/22
757,056190,에스에프에이,2001/12/18
758,036540,SFA반도체,2001/05/02
759,080000,에스엔유,2005/01/25
760,091340,S&K폴리텍,2007/07/30
761,214310,에스엘바이오닉스,2015/06/25
762,063440,SM Life Design,2002/05/30
763,041510,에스엠,2000/04/27
764,048550,SM C&C,2001/01/18
765,007820,에스엠코어,2011/11/08
766,109610,에스와이,2015/12/29
767,306040,에스제이그룹,2019/11/18
768,016250,SGC이테크건설,1999/12/28
769,049470,SGA,2001/10/11
770,184230,SGA솔루션즈,2013/12/20
771,040610,SG&G,2000/04/27
772,255220,SG,2018/01/26
773,100090,에스케이오션플랜트,2008/08/01
774,435870,에스케이증권제8호스팩,2022/10/06
775,096630,에스코넥,2007/12/26
776,069510,에스텍,2003/11/14
777,041910,에스텍파마,2004/02/06
778,234300,에스트래픽,2017/12/05
779,039440,에스티아이,2002/02/28
780,098660,에스티오,2009/04/17
781,052020,에스티큐브,2001/07/05
782,237690,에스티팜,2016/06/23
783,050760,에스폴리텍,2002/05/16
784,288620,에스퓨얼셀,2018/10/15
785,317830,에스피시스템스,2019/08/14
786,058610,에스피지,2002/07/23
787,043340,에쎈테크,2000/08/29
788,187660,에이디엠코리아,2021/06/03
789,054630,에이디칩스,2001/11/13
790,200710,에이디테크놀로지,2014/12/16
791,096690,에이루트,2010/12/01
792,298380,에이비엘바이오,2018/12/19
793,203400,에이비온,2021/09/08
794,195990,에이비프로바이오,2015/04/13
795,003800,에이스침대,1996/05/03
796,088800,에이스테크,2006/03/27
797,241840,에이스토리,2019/07/19
798,312610,에이에프더블류,2019/07/01
799,297890,HB솔루션,2020/06/22
800,078150,HB테크놀러지,2004/12/08
801,072990,에이치시티,2016/10/17
802,036640,HRS,2000/05/30
803,227100,에이치앤비디자인,2018/11/15
804,028300,HLB,1996/07/27
805,067630,HLB생명과학,2008/11/25
806,047920,HLB제약,2015/12/21
807,115450,HLB테라퓨틱스,2010/03/26
808,239610,에이치엘사이언스,2016/10/28
809,353060,에이치엠씨제5호스팩,2020/12/16
810,148930,에이치와이티씨,2022/08/09
811,044780,에이치케이,2000/09/07
812,195940,HK이노엔,2021/08/09
813,403870,HPSP,2022/07/15
814,357230,에이치피오,2021/05/14
815,071670,에이테크솔루션,2009/04/17
816,045660,에이텍,2001/05/24
817,224110,에이텍티앤,2015/08/25
818,230980,에이트원,2016/03/02
819,021080,에이티넘인베스트,1991/07/12
820,089530,에이티세미콘,2011/11/11
821,200470,에이팩트,2014/12/26
822,262260,에이프로,2020/07/16
823,109960,에이프로젠 H&G,2009/11/13
824,397030,에이프릴바이오,2022/07/28
825,265520,AP시스템,2017/04/07
826,054620,APS홀딩스,2001/12/04
827,211270,AP위성,2016/03/04
828,089970,에이피티씨,2018/08/23
829,230240,에치에프알,2015/12/16
830,230360,에코마케팅,2016/08/08
831,038870,에코바이오,2001/05/29
832,101360,에코앤드림,2020/07/30
833,128540,에코캡,2018/12/05
834,086520,에코프로,2007/07/20
835,247540,에코프로비엠,2019/03/05
836,383310,에코프로에이치엔,2021/05/28
837,038110,에코플라스틱,2000/03/23
838,073540,에프알텍,2007/05/18
839,064850,에프앤가이드,2020/12/17
840,064090,에프앤리퍼블릭,2002/12/17
841,214270,FSN,2015/03/25
842,036810,에프에스티,2000/01/18
843,173940,에프엔씨엔터,2014/12/04
844,083500,에프엔에스테크,2017/02/27
845,054940,엑사이엔씨,2001/12/13
846,043090,엑서지21,2001/10/11
847,950130,엑세스바이오,2013/05/30
848,205100,엑셈,2014/11/07
849,356680,엑스게이트,2023/03/16
850,070300,엑스큐어,2010/06/09
851,092870,엑시콘,2015/10/22
852,317870,엔바이오니아,2019/10/24
853,067570,엔브이에이치코리아,2013/12/03
854,236810,엔비티,2021/01/21
855,333620,엔시스,2021/04/01
856,101400,엔시트론,2009/03/31
857,031860,엔에스엔,1997/01/07
858,391060,엔에이치스팩20호,2021/10/05
859,396770,엔에이치스팩22호,2021/12/24
860,422040,엔에이치스팩23호,2022/06/28
861,437780,엔에이치스팩24호,2022/10/20
862,438580,엔에이치스팩25호,2022/11/03
863,439410,엔에이치스팩26호,2022/12/01
864,440820,엔에이치스팩27호,2022/12/16
865,450410,엔에이치스팩28호,2023/03/09
866,104200,NHN벅스,2009/10/06
867,060250,NHN한국사이버결제,2002/01/08
868,265740,엔에프씨,2020/12/02
869,053290,NE능률,2002/12/10
870,354200,엔젠바이오,2020/12/10
871,419080,엔젯,2022/11/18
872,208860,엔지스테크널러지,2016/07/28
873,183490,엔지켐생명과학,2018/02/21
874,182400,엔케이맥스,2015/10/23
875,348370,엔켐,2021/11/01
876,069410,엔텔스,2007/06/20
877,227950,엔투텍,2015/11/18
878,291230,엔피,2018/09/13
879,198080,엔피디,2020/03/16
880,048830,엔피케이,2000/10/12
881,096870,엘디티,2008/05/02
882,376190,엘비루셈,2021/06/11
883,061970,엘비세미콘,2011/01/31
884,138690,엘아이에스,2011/06/02
885,290650,엘앤씨바이오,2018/11/01
886,066970,엘앤에프,2003/01/02
887,156100,엘앤케이바이오,2016/11/30
888,073110,엘엠에스,2007/10/12
889,083310,엘오티베큠,2005/10/05
890,037950,엘컴텍,2000/08/24
891,170920,엘티씨,2013/10/08
892,058630,엠게임,2008/12/19
893,058970,엠로,2021/08/13
894,019590,엠벤처투자,1989/03/14
895,179290,엠아이텍,2018/11/29
896,009780,엠에스씨,1993/10/12
897,123040,엠에스오토텍,2010/08/06
898,323230,엠에프엠코리아,2019/06/19
899,033160,엠케이전자,1997/11/10
900,347890,엠투아이,2020/07/29
901,033310,엠투엔,1997/11/10
902,259630,엠플러스,2017/09/20
903,065150,엠피대산,2007/07/18
904,050540,엠피씨플러스,2005/12/12
905,115960,연우,2015/11/02
906,060850,영림원소프트랩,2020/08/12
907,007530,영신금속,1994/08/05
908,143540,영우디에스피,2014/10/29
909,112290,영창케미칼,2022/07/14
910,036560,영풍정밀,1999/12/28
911,265560,영화테크,2017/10/26
912,036000,예림당,1999/11/30
913,250930,예선테크,2016/09/29
914,053280,예스24,2008/05/07
915,122640,예스티,2015/12/16
916,900300,오가닉티코스메틱,2016/11/04
917,045060,오공,2000/08/10
918,080520,오디텍,2007/10/08
919,039830,오로라,2001/01/03
920,322310,오로스테크놀로지,2021/02/24
921,046120,오르비텍,2010/06/15
922,014940,오리엔탈정공,2001/12/26
923,065500,오리엔트정공,2002/09/19
924,010470,오리콤,2000/10/24
925,417860,오브젠,2023/01/30
926,352910,오비고,2021/07/13
927,053980,오상자이엘,2002/04/09
928,052420,오성첨단소재,2001/08/07
929,241790,오션브릿지,2016/12/01
930,039200,오스코텍,2007/01/17
931,031510,오스템,1997/02/12
932,048260,오스템임플란트,2007/02/07
933,368970,오에스피,2022/10/14
934,138080,오이솔루션,2014/02/27
935,080580,오킨스전자,2014/12/24
936,067170,오텍,2003/11/14
937,353590,오토앤,2022/01/20
938,173130,오파스넷,2018/08/24
939,049480,오픈베이스,2001/01/09
940,394280,오픈엣지테크놀로지,2022/09/26
941,309930,오하임아이엔티,2018/12/20
942,244460,올리패스,2019/09/20
943,226950,올릭스,2018/07/18
944,057540,옴니시스템,2007/09/19
945,131030,옵투스제약,2010/12/03
946,082210,옵트론텍,2005/06/24
947,109080,옵티시스,2011/07/12
948,380540,옵티코어,2022/12/29
949,153710,옵티팜,2018/10/26
950,051390,YW,2001/11/15
951,321820,와이더플래닛,2021/02/03
952,057030,YBM넷,2004/06/08
953,122990,와이솔,2010/09/10
954,232140,와이아이케이,2015/12/24
955,065530,와이어블,2002/06/04
956,067900,와이엔텍,2005/12/23
957,155650,와이엠씨,2012/11/15
958,273640,와이엠텍,2021/09/10
959,251370,와이엠티,2017/04/27
960,066430,와이오엠,2002/12/24
961,193250,와이제이엠게임즈,2014/12/29
962,273060,와이즈버즈,2017/08/07
963,019210,와이지-원,1997/08/06
964,122870,와이지엔터테인먼트,2011/11/23
965,040300,YTN,2001/09/04
966,332570,와이팜,2020/07/31
967,079000,와토스코리아,2005/11/15
968,032820,우리기술,2000/06/22
969,041190,우리기술투자,2000/06/09
970,115440,우리넷,2010/01/27
971,046970,우리로,2012/11/27
972,082850,우리바이오,2005/07/29
973,215360,우리산업,2015/05/06
974,072470,우리산업홀딩스,2003/10/28
975,073560,우리손에프앤지,2016/07/27
976,037400,우리엔터프라이즈,1999/12/16
977,153490,우리이앤엘,2013/02/05
978,101170,우림피티에스,2009/04/28
979,066590,우수AMS,2003/02/12
980,103840,우양,2019/11/20
981,046940,우원개발,2002/06/18
982,215380,우정바이오,2015/05/18
983,065680,우주일렉트로,2004/01/02
984,018620,우진비앤지,2008/05/20
985,307280,원바이오젠,2018/12/05
986,053080,원방테크,2020/09/24
987,032940,원익,1997/07/18
988,104830,원익머트리얼즈,2011/12/28
989,240810,원익IPS,2016/05/02
990,014190,원익큐브,1996/04/26
991,074600,원익QnC,2003/12/12
992,217820,원익피앤이,2015/12/07
993,030530,원익홀딩스,1996/09/24
994,012620,원일특강,1994/06/28
995,382840,원준,2021/10/07
996,336570,원텍,2019/12/19
997,376980,원티드랩,2021/08/11
998,008370,원풍,1992/12/18
999,008290,원풍물산,1997/07/18
1000,101160,월덱스,2008/06/19
1001,336060,웨이버스,2019/11/28
1002,095270,웨이브일렉트로,2007/09/12
1003,065950,웰크론,2003/07/29
